agent,source_doc,section_heading,target_canonical_section,notes
A9_Business_Optimization_Agent,docs/prd/agents/a9_business_optimization_agent_prd.md,Overview,Agent Overview & Metadata,
A9_Business_Optimization_Agent,docs/prd/agents/a9_business_optimization_agent_prd.md,Functional Requirements,Additional Legacy Detail,
A9_Business_Optimization_Agent,docs/prd/agents/a9_business_optimization_agent_prd.md,Technical Requirements,Additional Legacy Detail,
A9_Business_Optimization_Agent,docs/prd/agents/a9_business_optimization_agent_prd.md,Success Metrics,Compliance/KPIs,
A9_Business_Optimization_Agent,docs/prd/agents/a9_business_optimization_agent_prd.md,Error Handling,Additional Legacy Detail,
A9_Change_Management_Agent,docs/prd/agents/a9_change_management_agent_prd.md,Purpose,Agent Overview & Metadata,
A9_Change_Management_Agent,docs/prd/agents/a9_change_management_agent_prd.md,Core Requirements,Additional Legacy Detail,
A9_Change_Management_Agent,docs/prd/agents/a9_change_management_agent_prd.md,Implementation Guidance,Additional Legacy Detail,
A9_Change_Management_Agent,docs/prd/agents/a9_change_management_agent_prd.md,Success Criteria,Compliance/KPIs,
A9_Data_Governance_Agent,docs/prd/agents/a9_data_governance_agent_prd.md,Overview,Agent Overview & Metadata,
A9_Data_Governance_Agent,docs/prd/agents/a9_data_governance_agent_prd.md,Functional Requirements,Additional Legacy Detail,
A9_Data_Governance_Agent,docs/prd/agents/a9_data_governance_agent_prd.md,Compliance: YAML Contract Context,Compliance/KPIs,
A9_Data_Governance_Agent,docs/prd/agents/a9_data_governance_agent_prd.md,Success Criteria,Compliance/KPIs,
A9_Data_Governance_Agent,docs/prd/agents/a9_data_governance_agent_prd.md,Implementation Guidance,Additional Legacy Detail,
A9_Data_Product_Agent,docs/prd/agents/a9_data_product_agent_prd.md,1. Overview,Agent Overview & Metadata,
A9_Data_Product_Agent,docs/prd/agents/a9_data_product_agent_prd.md,2. Business Requirements,Additional Legacy Detail,
A9_Data_Product_Agent,docs/prd/agents/a9_data_product_agent_prd.md,3. Functional Requirements,Additional Legacy Detail,
A9_Data_Product_Agent,docs/prd/agents/a9_data_product_agent_prd.md,4. Non-Functional Requirements,Additional Legacy Detail,
A9_Data_Product_Agent,docs/prd/agents/a9_data_product_agent_prd.md,5. Technical Requirements,Additional Legacy Detail,
A9_Deep_Analysis_Agent,docs/prd/agents/a9_deep_analysis_agent_prd.md,Overview,Agent Overview & Metadata,
A9_Deep_Analysis_Agent,docs/prd/agents/a9_deep_analysis_agent_prd.md,Functional Requirements,Additional Legacy Detail,
A9_Deep_Analysis_Agent,docs/prd/agents/a9_deep_analysis_agent_prd.md,Technical Requirements,Additional Legacy Detail,
A9_Deep_Analysis_Agent,docs/prd/agents/a9_deep_analysis_agent_prd.md,Success Metrics,Compliance/KPIs,
A9_Deep_Analysis_Agent,docs/prd/agents/a9_deep_analysis_agent_prd.md,Implementation Details,Additional Legacy Detail,
A9_Implementation_Tracker_Agent,docs/prd/agents/a9_implementation_tracker_agent_prd.md,Overview,Agent Overview & Metadata,
A9_Implementation_Tracker_Agent,docs/prd/agents/a9_implementation_tracker_agent_prd.md,Core Capabilities,Additional Legacy Detail,
A9_Implementation_Tracker_Agent,docs/prd/agents/a9_implementation_tracker_agent_prd.md,Technical Requirements,Additional Legacy Detail,
A9_Implementation_Tracker_Agent,docs/prd/agents/a9_implementation_tracker_agent_prd.md,Protocol Compliance,Compliance/KPIs,
A9_Implementation_Tracker_Agent,docs/prd/agents/a9_implementation_tracker_agent_prd.md,Success Metrics,Compliance/KPIs,
A9_Innovation_Driver_Agent,docs/prd/agents/a9_innovation_driver_agent_prd.md,Overview,Agent Overview & Metadata,
A9_Innovation_Driver_Agent,docs/prd/agents/a9_innovation_driver_agent_prd.md,Core Capabilities,Additional Legacy Detail,
A9_Innovation_Driver_Agent,docs/prd/agents/a9_innovation_driver_agent_prd.md,Technical Requirements,Additional Legacy Detail,
A9_Innovation_Driver_Agent,docs/prd/agents/a9_innovation_driver_agent_prd.md,Protocol Compliance & Implementation Status,Compliance/KPIs,
A9_Innovation_Driver_Agent,docs/prd/agents/a9_innovation_driver_agent_prd.md,Success Metrics,Compliance/KPIs,
A9_Innovation_GenAI_Expert_Agent,docs/prd/agents/a9_innovation_genai_expert_agent_prd.md,Overview,Agent Overview & Metadata,
A9_Innovation_GenAI_Expert_Agent,docs/prd/agents/a9_innovation_genai_expert_agent_prd.md,Implementation Status,Agent Overview & Metadata,
A9_Innovation_GenAI_Expert_Agent,docs/prd/agents/a9_innovation_genai_expert_agent_prd.md,Functional Requirements,Additional Legacy Detail,
A9_Innovation_GenAI_Expert_Agent,docs/prd/agents/a9_innovation_genai_expert_agent_prd.md,Technical Requirements,Additional Legacy Detail,
A9_Innovation_GenAI_Expert_Agent,docs/prd/agents/a9_innovation_genai_expert_agent_prd.md,Success Metrics,Compliance/KPIs,
A9_LLM_Service_Agent,docs/prd/agents/a9_llm_service_prd.md,Purpose,Agent Overview & Metadata,
A9_LLM_Service_Agent,docs/prd/agents/a9_llm_service_prd.md,Objectives,Additional Legacy Detail,
A9_LLM_Service_Agent,docs/prd/agents/a9_llm_service_prd.md,Key Features,Additional Legacy Detail,
A9_LLM_Service_Agent,docs/prd/agents/a9_llm_service_prd.md,Inputs/Outputs,Additional Legacy Detail,
A9_LLM_Service_Agent,docs/prd/agents/a9_llm_service_prd.md,Acceptance Criteria,Compliance/KPIs,
A9_LLM_Service_Agent,docs/prd/agents/a9_llm_service_prd.md,Success Criteria,Compliance/KPIs,
A9_Market_Analysis_Agent,docs/prd/agents/a9_market_analysis_agent_prd.md,Overview,Agent Overview & Metadata,
A9_Market_Analysis_Agent,docs/prd/agents/a9_market_analysis_agent_prd.md,Core Capabilities,Additional Legacy Detail,
A9_Market_Analysis_Agent,docs/prd/agents/a9_market_analysis_agent_prd.md,Technical Requirements,Additional Legacy Detail,
A9_Market_Analysis_Agent,docs/prd/agents/a9_market_analysis_agent_prd.md,Protocol Compliance,Compliance/KPIs,
A9_Market_Analysis_Agent,docs/prd/agents/a9_market_analysis_agent_prd.md,Success Criteria,Compliance/KPIs,
A9_NLP_Interface_Agent,docs/prd/agents/a9_nlp_interface_agent_prd.md,1. Overview,Agent Overview & Metadata,
A9_NLP_Interface_Agent,docs/prd/agents/a9_nlp_interface_agent_prd.md,2. Business Requirements,Additional Legacy Detail,
A9_NLP_Interface_Agent,docs/prd/agents/a9_nlp_interface_agent_prd.md,3. Functional Requirements,Additional Legacy Detail,
A9_NLP_Interface_Agent,docs/prd/agents/a9_nlp_interface_agent_prd.md,Compliance & Integration Update,Compliance/KPIs,
A9_NLP_Interface_Agent,docs/prd/agents/a9_nlp_interface_agent_prd.md,Success Criteria,Compliance/KPIs,
A9_Opportunity_Analysis_Agent,docs/prd/agents/a9_opportunity_analysis_agent_prd.md,Purpose,Agent Overview & Metadata,
A9_Opportunity_Analysis_Agent,docs/prd/agents/a9_opportunity_analysis_agent_prd.md,Key Capabilities,Additional Legacy Detail,
A9_Opportunity_Analysis_Agent,docs/prd/agents/a9_opportunity_analysis_agent_prd.md,Technical Requirements,Additional Legacy Detail,
A9_Opportunity_Analysis_Agent,docs/prd/agents/a9_opportunity_analysis_agent_prd.md,Success Criteria,Compliance/KPIs,
A9_Orchestrator_Agent,docs/prd/agents/a9_orchestrator_agent_prd.md,Overview,Agent Overview & Metadata,
A9_Orchestrator_Agent,docs/prd/agents/a9_orchestrator_agent_prd.md,Functional Requirements,Additional Legacy Detail,
A9_Orchestrator_Agent,docs/prd/agents/a9_orchestrator_agent_prd.md,Technical Requirements,Additional Legacy Detail,
A9_Orchestrator_Agent,docs/prd/agents/a9_orchestrator_agent_prd.md,Success Criteria,Compliance/KPIs,
A9_Performance_Optimization_Agent,docs/prd/agents/a9_performance_optimization_agent_prd.md,Overview,Agent Overview & Metadata,
A9_Performance_Optimization_Agent,docs/prd/agents/a9_performance_optimization_agent_prd.md,Functional Requirements,Additional Legacy Detail,
A9_Performance_Optimization_Agent,docs/prd/agents/a9_performance_optimization_agent_prd.md,Technical Requirements,Additional Legacy Detail,
A9_Performance_Optimization_Agent,docs/prd/agents/a9_performance_optimization_agent_prd.md,Protocol Compliance,Compliance/KPIs,
A9_Performance_Optimization_Agent,docs/prd/agents/a9_performance_optimization_agent_prd.md,Success Metrics,Compliance/KPIs,
A9_Principal_Context_Agent,docs/prd/agents/a9_principal_context_agent_prd.md,Overview,Agent Overview & Metadata,
A9_Principal_Context_Agent,docs/prd/agents/a9_principal_context_agent_prd.md,Purpose,Additional Legacy Detail,
A9_Principal_Context_Agent,docs/prd/agents/a9_principal_context_agent_prd.md,Key Features,Additional Legacy Detail,
A9_Principal_Context_Agent,docs/prd/agents/a9_principal_context_agent_prd.md,Success Criteria,Compliance/KPIs,
A9_Quality_Assurance_Agent,docs/prd/agents/a9_quality_assurance_agent_prd.md,Purpose,Agent Overview & Metadata,
A9_Quality_Assurance_Agent,docs/prd/agents/a9_quality_assurance_agent_prd.md,Key Capabilities,Additional Legacy Detail,
A9_Quality_Assurance_Agent,docs/prd/agents/a9_quality_assurance_agent_prd.md,Technical Requirements,Additional Legacy Detail,
A9_Quality_Assurance_Agent,docs/prd/agents/a9_quality_assurance_agent_prd.md,Success Criteria,Compliance/KPIs,
A9_Risk_Analysis_Agent,docs/prd/agents/a9_risk_analysis_agent_prd.md,Overview,Agent Overview & Metadata,
A9_Risk_Analysis_Agent,docs/prd/agents/a9_risk_analysis_agent_prd.md,MVP Functional Requirements,Additional Legacy Detail,
A9_Risk_Analysis_Agent,docs/prd/agents/a9_risk_analysis_agent_prd.md,Technical Requirements,Additional Legacy Detail,
A9_Risk_Analysis_Agent,docs/prd/agents/a9_risk_analysis_agent_prd.md,Protocol Compliance,Compliance/KPIs,
A9_Risk_Analysis_Agent,docs/prd/agents/a9_risk_analysis_agent_prd.md,Success Metrics,Compliance/KPIs,
A9_Risk_Management_Agent,docs/prd/agents/a9_risk_management_agent_prd.md,Overview,Agent Overview & Metadata,
A9_Risk_Management_Agent,docs/prd/agents/a9_risk_management_agent_prd.md,Core Capabilities,Additional Legacy Detail,
A9_Risk_Management_Agent,docs/prd/agents/a9_risk_management_agent_prd.md,Technical Requirements,Additional Legacy Detail,
A9_Risk_Management_Agent,docs/prd/agents/a9_risk_management_agent_prd.md,Success Metrics,Compliance/KPIs,
A9_Situation_Awareness_Agent,docs/prd/agents/a9_situation_awareness_agent_prd.md,1. Overview,Agent Overview & Metadata,
A9_Situation_Awareness_Agent,docs/prd/agents/a9_situation_awareness_agent_prd.md,2. Business Requirements,Additional Legacy Detail,
A9_Situation_Awareness_Agent,docs/prd/agents/a9_situation_awareness_agent_prd.md,3. Agent Requirements,Additional Legacy Detail,
A9_Situation_Awareness_Agent,docs/prd/agents/a9_situation_awareness_agent_prd.md,Success Criteria,Compliance/KPIs,
A9_Solution_Architect_Agent,docs/prd/agents/a9_solution_architect_agent_prd.md,Overview,Agent Overview & Metadata,
A9_Solution_Architect_Agent,docs/prd/agents/a9_solution_architect_agent_prd.md,Functional Requirements,Additional Legacy Detail,
A9_Solution_Architect_Agent,docs/prd/agents/a9_solution_architect_agent_prd.md,Technical Requirements,Additional Legacy Detail,
A9_Solution_Architect_Agent,docs/prd/agents/a9_solution_architect_agent_prd.md,Success Criteria,Compliance/KPIs,
A9_Solution_Finder_Agent,docs/prd/agents/a9_solution_finder_agent_prd.md,Purpose,Agent Overview & Metadata,
A9_Solution_Finder_Agent,docs/prd/agents/a9_solution_finder_agent_prd.md,Functional Requirements,Additional Legacy Detail,
A9_Solution_Finder_Agent,docs/prd/agents/a9_solution_finder_agent_prd.md,Technical Requirements,Additional Legacy Detail,
A9_Solution_Finder_Agent,docs/prd/agents/a9_solution_finder_agent_prd.md,Success Criteria,Compliance/KPIs,
A9_Stakeholder_Analysis_Agent,docs/prd/agents/a9_stakeholder_analysis_agent_prd.md,Overview,Agent Overview & Metadata,
A9_Stakeholder_Analysis_Agent,docs/prd/agents/a9_stakeholder_analysis_agent_prd.md,Core Capabilities,Additional Legacy Detail,
A9_Stakeholder_Analysis_Agent,docs/prd/agents/a9_stakeholder_analysis_agent_prd.md,Technical Requirements,Additional Legacy Detail,
A9_Stakeholder_Analysis_Agent,docs/prd/agents/a9_stakeholder_analysis_agent_prd.md,Success Criteria,Compliance/KPIs,
A9_Stakeholder_Engagement_Agent,docs/prd/agents/a9_stakeholder_engagement_agent_prd.md,Overview,Agent Overview & Metadata,
A9_Stakeholder_Engagement_Agent,docs/prd/agents/a9_stakeholder_engagement_agent_prd.md,Core Capabilities,Additional Legacy Detail,
A9_Stakeholder_Engagement_Agent,docs/prd/agents/a9_stakeholder_engagement_agent_prd.md,Technical Requirements,Additional Legacy Detail,
A9_Stakeholder_Engagement_Agent,docs/prd/agents/a9_stakeholder_engagement_agent_prd.md,Success Criteria,Compliance/KPIs,
A9_UI_Design_Agent,docs/prd/agents/a9_ui_design_agent_prd.md,Overview,Agent Overview & Metadata,
A9_UI_Design_Agent,docs/prd/agents/a9_ui_design_agent_prd.md,Key Features,Additional Legacy Detail,
A9_UI_Design_Agent,docs/prd/agents/a9_ui_design_agent_prd.md,Technical Requirements,Additional Legacy Detail,
A9_UI_Design_Agent,docs/prd/agents/a9_ui_design_agent_prd.md,Success Metrics,Compliance/KPIs,
